Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W128,A018,Pregnancy,Pregnancy & Lactation,Only limited data on the safety of Fosfomycin trometamol treatment during 1st trimester of pregnancy (n=152) are available. These data do not raise any safety signal for teratogenicity so far. Fosfomycin crosses the placenta.,R018
W129,A018,Animal Studies,Pregnancy & Lactation,"Animal studies have not indicated any direct or indirect toxicity with any effect on pregnancy, embryonic development, development of the foetus and/or postnatal development. Fosfomycin should only be used during pregnancy, if clearly necessary.",R018
W130,A018,Lactation,Pregnancy & Lactation,"Since Fosfomycin passes into breast milk even after taking just a single dose, women who are breastfeeding should not be treated with Fosfomycin unless strictly necessary.",R018
W131,A018,Fertility,Pregnancy & Lactation,"No data in humans are available. In male and female rats, oral administration of fosfomycin up to 1000 mg/kg/d did not impair fertility.",R018
W132,A019,Hypersensitivity,Contraindication,Do not use in patients with a known allergy to Fosfomycin.,R019
W133,A019,Severe Renal Failure & Patients on Hemodialysis,Contraindication,Do not use in patients with severe renal failure & patients on hemodialysis.,R019
W134,A020,Hypersensitivity,Contraindication,Do not use in patients with a known allergy to Sulfamethoxazole.,R020
W135,A020,Use in Pregnancy and Lactation,Pregnancy & Lactation,"No adverse effects have been seen in breast-fed infants whose mothers were taking cotrimoxazole, and the last available guidance from the American Academy of Pediatrics considered that it was therefore usually compatible with breast feeding.",R020
W136,A020,Sodium Metabisulfite Allergic Reactions,Patient Condition,"Sodium metabisulfite contains a sulfite that may cause allergic type reactions, including anaphylactic symptoms and life threatening or less severe asthmatic episode in certain susceptible persons.",R020
W137,A021,Overdosage of Cephalosporins,Overdosage,Overdosage of cephalosporins can cause cerebral irritation leading to convulsions or encephalopathy. Serum levels of cefuroxime can be reduced by hemodialysis and peritoneal dialysis.,R021
W138,A021,Cephalosporin Allergy,Contraindication,Cefuroxime (as Axetil) products are contraindicated in patients with known allergy to the cephalosporin group of antibiotics.,R021
W139,A021,Previous Hypersensitivity Reactions,Patient Condition,"Before therapy with Cefuroxime (as Axetil) products is instituted, careful inquiry should be made to determine whether the patient has had previous hypersensitivity reactions to Cefuroxime (as Axetil) products, other cephalosporins, penicillins, or other drugs.",R021
W140,A021,Penicillin-sensitive Patients,Patient Condition,"If this product is to be given to penicillin-sensitive patients, caution should be exercised because cross-hypersensitivity among beta-lactam antibiotics has been clearly documented and may occur in up to 10% of patients with a history of penicillin allergy.",R021
